Gender,Age,Kids,Politics,Education,Income,Inflation,Unemployment,Response
Men,18,0,left-wing,no high school,less than 1500,2.0,10.0,4.50
Men,18,0,left-wing,no high school,less than 1500,4.0,10.0,4.50
Men,18,0,left-wing,no high school,less than 1500,6.0,10.0,7.50
Men,18,0,left-wing,no high school,less than 1500,8.0,10.0,7.50
Men,18,0,left-wing,no high school,less than 1500,10.0,10.0,8.50
Men,18,0,left-wing,no high school,less than 1500,12.0,10.0,8.50
Men,18,0,left-leaning,no high school,less than 1500,2.0,10.0,4.50
Men,18,0,left-leaning,no high school,less than 1500,4.0,10.0,4.50
Men,18,0,left-leaning,no high school,less than 1500,6.0,10.0,7.50
Men,18,0,left-leaning,no high school,less than 1500,8.0,10.0,6.50
Men,18,0,left-leaning,no high school,less than 1500,10.0,10.0,8.50
Men,18,0,left-leaning,no high school,less than 1500,12.0,10.0,8.50
Men,18,0,centre,no high school,less than 1500,2.0,10.0,4.50
Men,18,0,centre,no high school,less than 1500,4.0,10.0,4.50
Men,18,0,centre,no high school,less than 1500,6.0,10.0,4.50
Men,18,0,centre,no high school,less than 1500,8.0,10.0,6.50
Men,18,0,centre,no high school,less than 1500,10.0,10.0,8.50
Men,18,0,centre,no high school,less than 1500,12.0,10.0,6.50
Men,18,0,right-leaning,no high school,less than 1500,2.0,10.0,6.50
Men,18,0,right-leaning,no high school,less than 1500,4.0,10.0,6.50
Men,18,0,right-leaning,no high school,less than 1500,6.0,10.0,6.50
Men,18,0,right-leaning,no high school,less than 1500,8.0,10.0,6.50
Men,18,0,right-leaning,no high school,less than 1500,10.0,10.0,8.50
Men,18,0,right-leaning,no high school,less than 1500,12.0,10.0,8.50
Men,18,0,right-wing,no high school,less than 1500,2.0,10.0,6.50
Men,18,0,right-wing,no high school,less than 1500,4.0,10.0,7.50
Men,18,0,right-wing,no high school,less than 1500,6.0,10.0,8.50
Men,18,0,right-wing,no high school,less than 1500,8.0,10.0,8.50
Men,18,0,right-wing,no high school,less than 1500,10.0,10.0,8.50
Men,18,0,right-wing,no high school,less than 1500,12.0,10.0,8.50
Men,18,0,left-wing,a high school,less than 1500,2.0,10.0,4.50
Men,18,0,left-wing,a high school,less than 1500,4.0,10.0,4.50
Men,18,0,left-wing,a high school,less than 1500,6.0,10.0,7.50
Men,18,0,left-wing,a high school,less than 1500,8.0,10.0,6.50
Men,18,0,left-wing,a high school,less than 1500,10.0,10.0,8.50
Men,18,0,left-wing,a high school,less than 1500,12.0,10.0,8.50
Men,18,0,left-leaning,a high school,less than 1500,2.0,10.0,4.50
Men,18,0,left-leaning,a high school,less than 1500,4.0,10.0,4.50
Men,18,0,left-leaning,a high school,less than 1500,6.0,10.0,6.50
Men,18,0,left-leaning,a high school,less than 1500,8.0,10.0,6.50
Men,18,0,left-leaning,a high school,less than 1500,10.0,10.0,8.50
Men,18,0,left-leaning,a high school,less than 1500,12.0,10.0,8.50
Men,18,0,centre,a high school,less than 1500,2.0,10.0,1.50
Men,18,0,centre,a high school,less than 1500,4.0,10.0,2.50
Men,18,0,centre,a high school,less than 1500,6.0,10.0,4.50
Men,18,0,centre,a high school,less than 1500,8.0,10.0,6.50
Men,18,0,centre,a high school,less than 1500,10.0,10.0,6.50
Men,18,0,centre,a high school,less than 1500,12.0,10.0,6.50
Men,18,0,right-leaning,a high school,less than 1500,2.0,10.0,6.50
Men,18,0,right-leaning,a high school,less than 1500,4.0,10.0,6.50
Men,18,0,right-leaning,a high school,less than 1500,6.0,10.0,6.50
Men,18,0,right-leaning,a high school,less than 1500,8.0,10.0,6.50
Men,18,0,right-leaning,a high school,less than 1500,10.0,10.0,8.50
Men,18,0,right-leaning,a high school,less than 1500,12.0,10.0,6.50
Men,18,0,right-wing,a high school,less than 1500,2.0,10.0,6.50
Men,18,0,right-wing,a high school,less than 1500,4.0,10.0,6.50
Men,18,0,right-wing,a high school,less than 1500,6.0,10.0,7.50
Men,18,0,right-wing,a high school,less than 1500,8.0,10.0,6.50
Men,18,0,right-wing,a high school,less than 1500,10.0,10.0,8.50
Men,18,0,right-wing,a high school,less than 1500,12.0,10.0,8.50
Men,18,0,left-wing,a college,less than 1500,2.0,10.0,0.75
Men,18,0,left-wing,a college,less than 1500,4.0,10.0,4.50
Men,18,0,left-wing,a college,less than 1500,6.0,10.0,6.50
Men,18,0,left-wing,a college,less than 1500,8.0,10.0,6.50
Men,18,0,left-wing,a college,less than 1500,10.0,10.0,7.50
Men,18,0,left-wing,a college,less than 1500,12.0,10.0,8.50
Men,18,0,left-leaning,a college,less than 1500,2.0,10.0,4.50
Men,18,0,left-leaning,a college,less than 1500,4.0,10.0,4.50
Men,18,0,left-leaning,a college,less than 1500,6.0,10.0,6.50
Men,18,0,left-leaning,a college,less than 1500,8.0,10.0,6.50
Men,18,0,left-leaning,a college,less than 1500,10.0,10.0,8.50
Men,18,0,left-leaning,a college,less than 1500,12.0,10.0,8.50
Men,18,0,centre,a college,less than 1500,2.0,10.0,1.50
Men,18,0,centre,a college,less than 1500,4.0,10.0,2.50
Men,18,0,centre,a college,less than 1500,6.0,10.0,4.50
Men,18,0,centre,a college,less than 1500,8.0,10.0,4.50
Men,18,0,centre,a college,less than 1500,10.0,10.0,6.50
Men,18,0,centre,a college,less than 1500,12.0,10.0,6.50
Men,18,0,right-leaning,a college,less than 1500,2.0,10.0,6.50
Men,18,0,right-leaning,a college,less than 1500,4.0,10.0,6.50
Men,18,0,right-leaning,a college,less than 1500,6.0,10.0,6.50
Men,18,0,right-leaning,a college,less than 1500,8.0,10.0,6.50
Men,18,0,right-leaning,a college,less than 1500,10.0,10.0,8.50
Men,18,0,right-leaning,a college,less than 1500,12.0,10.0,6.50
Men,18,0,right-wing,a college,less than 1500,2.0,10.0,6.50
Men,18,0,right-wing,a college,less than 1500,4.0,10.0,6.50
Men,18,0,right-wing,a college,less than 1500,6.0,10.0,6.50
Men,18,0,right-wing,a college,less than 1500,8.0,10.0,6.50
Men,18,0,right-wing,a college,less than 1500,10.0,10.0,8.50
Men,18,0,right-wing,a college,less than 1500,12.0,10.0,8.50
Men,18,0,left-wing,no high school,1500-2500,2.0,10.0,4.50
Men,18,0,left-wing,no high school,1500-2500,4.0,10.0,4.50
Men,18,0,left-wing,no high school,1500-2500,6.0,10.0,7.50
Men,18,0,left-wing,no high school,1500-2500,8.0,10.0,7.50
Men,18,0,left-wing,no high school,1500-2500,10.0,10.0,8.50
Men,18,0,left-wing,no high school,1500-2500,12.0,10.0,8.50
Men,18,0,left-leaning,no high school,1500-2500,2.0,10.0,4.50
Men,18,0,left-leaning,no high school,1500-2500,4.0,10.0,4.50
Men,18,0,left-leaning,no high school,1500-2500,6.0,10.0,6.50
Men,18,0,left-leaning,no high school,1500-2500,8.0,10.0,6.50
Men,18,0,left-leaning,no high school,1500-2500,10.0,10.0,8.50
Men,18,0,left-leaning,no high school,1500-2500,12.0,10.0,8.50
Men,18,0,centre,no high school,1500-2500,2.0,10.0,4.50
Men,18,0,centre,no high school,1500-2500,4.0,10.0,4.50
Men,18,0,centre,no high school,1500-2500,6.0,10.0,6.50
Men,18,0,centre,no high school,1500-2500,8.0,10.0,6.50
Men,18,0,centre,no high school,1500-2500,10.0,10.0,6.50
Men,18,0,centre,no high school,1500-2500,12.0,10.0,6.50
Men,18,0,right-leaning,no high school,1500-2500,2.0,10.0,6.50
Men,18,0,right-leaning,no high school,1500-2500,4.0,10.0,6.50
Men,18,0,right-leaning,no high school,1500-2500,6.0,10.0,6.50
Men,18,0,right-leaning,no high school,1500-2500,8.0,10.0,6.50
Men,18,0,right-leaning,no high school,1500-2500,10.0,10.0,8.50
